"","2199815454","7071524730","9355532901","9733049784","9735387512"
"930050901",111,79.8,128.4,69.7,77.7
"952680111",105.7,72.6,126.7,59.7,75.1
"940780207",100.2,86.7,92.7,91,68.2
"940180107",65.4,47.1,72.7,51.4,28.6
"785860701",73.4,62.1,99.8,55.7,84.1
"952520105",98.3,74.8,124.8,63,95.4
"930660802",79.2,46.5,104.7,33.2,53.3
"783110202",63.9,52.6,90.3,46.8,74.6
"920730110",30.4,44.5,50.2,48.1,57.5
"930710112",125,93.7,142.4,88.7,91.7
"930011101",75.2,41.9,96,30.1,44.4
"920630706",36.4,46.5,56.2,48.6,60.7
"940280404",97.5,81.4,96.5,85.7,62.9
"751176613",39.9,9.5,67.9,9.6,33.2
"751155717",27.2,29.3,40.7,39.1,17
"751104002",59.1,29.2,76.2,27.7,24.3
"751197302",58.6,27.3,78.9,24.2,27.3
"940810307",62.4,58.8,64.2,63.4,33.5
"930010301",76.8,45.6,97.2,35.6,45.6
"781900104",59.4,62.7,73.8,64.8,83
"751041501",48.4,27.9,64.7,32.2,12.5
"950180402",69.9,52.2,96.3,43.5,73
"930480902",82.9,55.1,97.6,52.9,47
"930300104",93.6,60.3,114.4,50,62.8
"751083207",43.4,11.1,67.4,9.3,25.5
"751166124",22.4,21.9,49,29.9,29.7
"751207804",66.4,41,81.1,40.2,30.5
"940730108",73.7,73.7,64.3,78.3,48.4
"751103910",53.2,22,71.1,20.2,19.6
"920630703",33.4,45.4,53.2,49,58.4
"940210109",63.2,67.6,53.7,72.2,41.6
"751176812",47.6,14.1,72.9,3.4,31.2
"920240103",48.4,18.3,76.5,4.1,36.5
"955850105",104.8,73.6,129.3,60.3,77.8
"920250304",55.4,39.9,81.9,31.9,60.9
"920480211",19.4,50.2,15.8,59.2,42.7
"930100403",97.1,65.8,113.1,62,62.4
"955850109",101.1,69.6,124.7,56.2,73.1
"930550202",75.8,44.6,96.1,37.1,44.6
"751010301",44.8,17.7,64,20.8,16.8
"940550101",118.6,98.9,126.3,100.3,82.9
"930610103",69.7,38.4,90,34.6,37.7
"751124703",58.5,40.2,69.1,44.5,21.8
"920730114",26,33.8,46,37.4,46.8
"920500502",40.8,34.1,64.5,36.3,54.4
"751114110",57.6,29,74.7,28.6,22.3
"930780105",130,98.8,147.4,90.8,96.7
"940330102",79.4,56.2,93.8,55.8,43.5
"920630806",41.3,46.8,61.1,48.9,64.1
"920640111",23.3,51.4,37.9,55,56.3
"751166205",23,19.1,49.2,27.1,28.7
"751114406",54.2,31.7,68.6,33.6,18.3
"751207811",66.3,39.5,83.2,37.8,30.4
"940030109",38.5,45.6,42.2,51.6,20.7
"930010901",73.2,39.9,94,29.6,42.4
"940410107",59.9,50.3,66.6,54.9,26.7
"920760103",39.4,66.2,47.3,69.8,72.4
"930490107",95.7,72.5,110.1,70.8,59.8
"930460108",118.1,86.9,135.5,83,84.8
"780920101",54.8,69.2,65.6,71.3,86.6
"751155716",25,29.2,41.3,40,18.2
"940220201",82,72.3,74.4,76.6,53.3
"751166112",14.7,25.7,41.9,33.6,30.4
"786460302",58.4,92.8,44.1,98.1,87.4
"920350101",49.5,38.3,76,34.4,60.3
"940520105",93.5,70.9,103.2,72.3,56.8
"920260403",43.6,32.3,70.1,30.7,53.7
"940460110",80.1,64.6,82,68.9,46.1
"751208006",60.9,38.4,75.4,39.3,25
"920120204",4.8,37.9,32.1,45.1,39.6
"785861001",67.9,56.6,94.3,50.8,78.6
"940160106",50.2,60.4,41.4,66.3,35.4
"930320117",114.9,88.9,129.3,85.1,79
"920240503",47.1,17.9,75.2,4.2,36.6
"920510103",30.7,24.7,58.4,27,45
"930790104",82.1,51.2,109.3,37.8,62.6
"930450102",72.2,42.6,88.9,39.9,36.4
"940680105",94.3,77.8,99.3,80.1,59.3
"930590103",92.6,60.2,118.3,46.8,66.9
"930720115",95.5,62.4,116.5,49.5,64.9
"751041301",48,23.5,65.2,27.5,12.9
"786500101",64.6,67.9,83.4,70,88.2
"930480104",69.4,46.9,83.8,47.8,33.4
"930770105",101.2,72.1,115.6,68.2,65.3
"950190103",111.7,78.5,132.6,65.7,81.1
"751155712",22.2,27.3,40.8,38.1,18.4
"920440105",40.2,17.1,68.3,14.3,40.1
"930481103",88.4,65.2,102.8,63.4,52.4
"920780108",70,40.1,98.2,26.7,52.9
"940330114",86.7,64.1,99,63.7,50.4
"920440114",39,16.2,67.2,13.4,38.9
"751187018",55.8,22.5,78.3,14,28
"930710117",116.9,85.7,134.3,81.8,83.6
"920630704",31.5,43,51.3,46.6,56.1
"920630804",41.2,51,59.4,53.2,67.5
"930700114",57.5,23.4,81.5,12.3,37.3
"940780204",99.9,91.8,92.3,96.1,71.2
"940410206",54.5,50.4,60.7,55,25.1
"920040501",54.8,27,83,12.7,45.1
"930770110",107.5,78.4,122,74.6,71.6
"751093306",46.6,13.3,70.6,9.4,24.8
"920200101",29.5,45.1,28.1,54.4,26
"940171202",116.3,96.7,124.1,98.1,80.7
"930140112",118.5,87.2,135.9,83.3,85.2
"940810105",68.6,63.6,68.4,68.2,39.9
"751062103",39.8,22.5,57,27.1,7.5
"930500108",109.7,86.6,124.2,83.5,73.8
"920490102",32.1,42.3,40.1,50,19.7
"751103901",57.7,27.8,74.8,26.2,22.9
"751155710",20,29,40,38.7,20
"940460109",82,65.9,85.9,70.2,47.4
"940171002",101.9,82.4,109.6,83.8,66.2
"940670107",66.9,45.5,77.2,46.9,30.6
"955850119",97,65.9,123.9,52.5,72.4
"940680703",94.2,78.1,99.3,81.6,59.6
"751155808",29,23.7,46.2,34.2,13.1
"940040102",111.2,95,110.4,99.3,76.6
"751135206",39.8,31.9,52.5,37.5,5.5
"751155718",26.8,29.2,40.5,38.4,16.3
"751176604",40.8,6.1,66.8,10.3,29.1
"940520110",88,65.5,99.3,66.7,51.4
"783960103",82.7,85.4,101.1,79.6,106.3
"751176703",45.3,12,69.3,6.4,28.4
"786460203",45.8,79.4,35.3,84.1,76.9
"930450106",73.5,45,88.3,42.8,37.6
"940760112",52.3,57.3,55.3,61.9,31.4
"940810208",61.8,64.1,59.6,68.7,38.1
"930710118",115.8,84.5,133.2,80.7,82.5
